sugu,vanus,lapsed,emaharidus,isaharidus,kaaslane,staatus3,tervis,haridus,haridustase,sissetulek,meeldib_oppida,literacy,numeracy,psolvskills,hvaldkond,kaalud
Naine,28,Ei,Kõrg,Kõrg,NA,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,1802.363,Väga suurel määral,284.8724,310.7185,288.6206,Sots,129.527
Naine,51,Jah,Põhi,Põhi,Ei,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,381.2732,Suurel määral,262.6369,258.8452,NA,Põ,101.1337
Mees,25,Ei,Kõrg,NA,Jah,Hõivatud,Suurepärane,Põhi,Madal,NA,Väga suurel määral,328.8408,312.1364,307.29,Üld,122.7014
Mees,31,Jah,Kõrg,Kõrg,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,552.3303,Suurel määral,317.5484,335.978,327.5996,Õp,124.7976
Mees,52,Jah,Põhi,Põhi,NA,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Mõningal määral,139.6425,121.7606,NA,Üld,72.04552
Mees,43,Jah,Kõrg,Kesk,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Üldse mitte,238.2655,253.2609,NA,TehTo,165.5704
Naine,49,Jah,Kesk,Kõrg,Jah,Hõivatud,Hea,Kesk-järgne kutse,Keskmine,447.0644,Suurel määral,228.8153,283.838,268.7807,TehTo,122.7917
Mees,52,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,NA,Väga suurel määral,305.9283,337.0569,296.0767,TehTo,98.79346
Mees,50,Jah,Põhi,Põhi,Jah,Hõivatud,Väga hea,Kesk,Keskmine,NA,Suurel määral,334.8849,297.3818,280.3271,Üld,104.7566
Naine,41,Jah,Põhi,Põhi,Ei,Töötu,Hea,Põhi,Madal,NA,Mõningal määral,177.6983,153.2322,201.5679,Üld,126.9208
Mees,55,Ei,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,947.0776,Mõningal määral,300.4165,324.4663,289.2928,TehTo,144.6558
Mees,64,Jah,Põhi,NA,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Mõningal määral,266.4889,255.016,NA,Üld,103.4814
Mees,20,Ei,Kesk,Kõrg,Ei,Töötu,Väga hea,Kesk,Keskmine,NA,Suurel määral,234.3266,221.3466,252.7874,TehTo,108.5352
Mees,26,Ei,Kõrg,Kesk,Ei,Hõivatud,Hea,Kesk,Keskmine,618.1215,Suurel määral,222.4948,221.6663,231.3236,Teen,122.7014
Mees,37,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Kesk,Keskmine,2764.667,Mõningal määral,311.0994,330.2602,285.9232,TehTo,115.3308
Naine,57,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,697.071,Väga vähe,173.5919,215.3066,219.5971,Terv,105.2936
Mees,37,Ei,Kesk,Põhi,Ei,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Väga vähe,301.3307,268.5693,NA,Teen,112.3056
Mees,24,Ei,Kesk,Kõrg,NA,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,1276.034,Väga suurel määral,342.9353,356.6078,338.5317,TehTo,122.7014
Naine,42,Ei,Põhi,Põhi,NA,Hõivatud,Hea,Kesk-järgne kutse,Keskmine,749.7039,Mõningal määral,284.4357,295.0114,259.7144,NA,113.9431
Mees,18,Ei,Kõrg,NA,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Väga suurel määral,318.0233,319.1088,345.0831,Üld,110.7635
Mees,37,Jah,Kesk,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,1933.946,Suurel määral,266.988,287.6918,272.9345,Põ,112.3056
Mees,23,Ei,Põhi,Kesk,Ei,Hõivatud,Hea,Kesk,Keskmine,468.1176,Väga vähe,308.5016,319.6895,328.9056,TehTo,132.8443
Naine,42,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Põhi,Madal,278,Mõningal määral,284.2061,265.6834,NA,Üld,95.11311
Mees,62,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,486.5391,Väga suurel määral,253.3643,254.7306,251.9265,Teen,92.65193
Mees,23,Ei,Kesk,Kõrg,Jah,Hõivatud,Hea,Kesk,Keskmine,1250,Suurel määral,321.4932,281.1397,352.189,Üld,93.33152
Mees,41,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,NA,Suurel määral,277.8472,278.6648,282.6699,NA,160.1555
Mees,35,Jah,Kesk,Põhi,Jah,Hõivatud,Väga hea,Põhi,Madal,1183.174,Mõningal määral,227.107,240.6601,262.0869,Üld,148.5919
Mees,38,Ei,Kõrg,Kesk,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Mõningal määral,316.9578,288.2781,282.8592,TehTo,98.599
Naine,48,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Kesk,Keskmine,174,Mõningal määral,239.4353,224.116,243.7043,Üld,113.1611
Naine,58,Jah,Kõrg,Kõrg,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,850,Mõningal määral,370.5358,364.8641,336.1685,TehTo,105.2936
Naine,57,Jah,Põhi,Kesk,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,1000,Suurel määral,318.7856,322.7095,307.1709,Sots,153.9382
Mees,45,Jah,Kõrg,Kõrg,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,NA,Mõningal määral,251.2575,296.6581,249.1139,Põ,108.8759
Naine,65,Jah,Põhi,Põhi,Ei,Mitteaktiivne,Rahuldav,Rakenduskõrg,Kõrge,NA,Mõningal määral,247.6447,203.2066,NA,TehTo,113.1567
Naine,51,Jah,Kesk,Põhi,Jah,Töötu,Hea,Kesk,Keskmine,NA,Väga vähe,326.4616,299.8428,NA,Üld,122.7917
Naine,16,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Suurel määral,321.4514,272.5702,288.3885,Üld,118.4273
Mees,59,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,618.1215,Suurel määral,289.5287,253.6453,NA,Üld,157.3497
Mees,32,Jah,Kõrg,Kõrg,Jah,Hõivatud,Suurepärane,Akadeemiline kõrg,Kõrge,1276.034,Väga suurel määral,385.298,378.691,351.7235,Sots,148.5919
Naine,56,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Halb,Kesk,Keskmine,NA,Mõningal määral,295.1535,271.0118,NA,Sots,77.89236
Mees,36,Jah,Kõrg,Kesk,Jah,Hõivatud,Suurepärane,Akadeemiline kõrg,Kõrge,881.2864,Suurel määral,267.4619,277.0207,NA,Terv,186.2346
Mees,20,Ei,Kõrg,Kesk,Jah,Hõivatud,Hea,Kesk,Keskmine,585,Mõningal määral,320.0252,300.4227,313.7175,Täp,125.9017
Mees,49,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk-järgne kutse,Keskmine,290,Väga vähe,168.6561,197.089,NA,Teen,113.8739
Mees,44,Ei,Kesk,Kesk,Ei,Hõivatud,Rahuldav,Põhi,Madal,NA,Mõningal määral,243.5892,272.3026,212.7782,Üld,117.9736
Mees,46,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Kesk,Keskmine,1040,Väga vähe,283.7337,258.4576,270.9459,Teen,98.599
Naine,34,Jah,Kõrg,NA,Ei,Töötu,Hea,Põhi,Madal,NA,Suurel määral,295.9254,280.7189,NA,Sots,193.114
Naine,25,Jah,Kesk,Kõrg,Jah,Mitteaktiivne,Hea,Rakenduskõrg,Kõrge,NA,Väga suurel määral,271.5977,271.1211,309.567,Hum,129.527
Naine,46,Jah,Põhi,Kesk,NA,Hõivatud,Rahuldav,Kesk,Keskmine,749.7039,Suurel määral,169.8218,189.2263,160.295,Üld,115.7479
Naine,63,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Hea,Põhi,Madal,NA,Üldse mitte,223.2342,273.5806,NA,Üld,153.9382
Naine,54,Jah,Põhi,Põhi,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,460.2226,Üldse mitte,250.0267,232.2837,NA,Üld,133.9683
Naine,20,Ei,Kõrg,Kõrg,Ei,Töötu,Väga hea,Kesk,Keskmine,NA,Väga suurel määral,340.0033,374.4225,363.5444,Üld,118.4273
Naine,46,Jah,Kesk,Põhi,Jah,Hõivatud,Suurepärane,Akadeemiline kõrg,Kõrge,1144.451,Suurel määral,340.9991,304.6226,293.7664,TehTo,115.1018
Naine,43,Jah,Põhi,Põhi,Ei,Hõivatud,Hea,Kesk,Keskmine,NA,Mõningal määral,292.4001,306.395,249.7452,Üld,109.589
Naine,62,Jah,Kesk,Kesk,Jah,Mitteaktiivne,Rahuldav,Rakenduskõrg,Kõrge,NA,Suurel määral,248.3047,278.4818,250.687,Õp,113.1567
Mees,17,Ei,Kõrg,Kõrg,Ei,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Suurel määral,273.5051,279.2038,271.5662,Üld,122.7014
Mees,31,Jah,Kesk,Kesk,Jah,Hõivatud,Väga hea,Kesk,Keskmine,1407.616,Suurel määral,287.4983,290.1528,310.3498,Teen,148.5919
Mees,50,Jah,Põhi,Põhi,NA,Töötu,Hea,Kesk,Keskmine,NA,Suurel määral,149.1327,136.444,NA,TehTo,72.04552
Mees,27,Ei,Kesk,Kesk,NA,Hõivatud,Hea,Kesk,Keskmine,520,Suurel määral,297.3454,314.2106,308.4436,Üld,220.4326
Mees,22,Ei,Kesk,Kõrg,Jah,Hõivatud,Hea,Kesk,Keskmine,NA,Väga suurel määral,399.2303,394.359,338.2662,Üld,122.7014
Naine,16,Ei,Kesk,Kõrg,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Mõningal määral,323.0902,292.5728,306.0165,Üld,122.4966
Naine,23,Jah,Kõrg,Kesk,Jah,Hõivatud,Hea,Kesk,Keskmine,933.9193,Suurel määral,294.4466,279.3077,307.8772,Üld,115.7419
Naine,19,Ei,Kesk,Põhi,Ei,Mitteaktiivne,Suurepärane,Kesk,Keskmine,NA,Suurel määral,286.2141,255.3129,272.3433,Üld,87.32237
Naine,26,Jah,Kõrg,Põhi,Jah,Mitteaktiivne,Hea,Kesk,Keskmine,NA,Üldse mitte,223.0794,216.3157,NA,Üld,124.5773
Mees,52,Jah,Põhi,Põhi,Jah,Hõivatud,Väga hea,Kesk,Keskmine,1407.616,Suurel määral,252.3943,275.6899,243.2937,Üld,98.79346
Mees,59,Jah,Põhi,Kõrg,Jah,Hõivatud,Rahuldav,Kesk,Keskmine,NA,Mõningal määral,276.6368,270.6643,NA,Üld,137.8951
Naine,26,Jah,Kesk,Kesk,Ei,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,728,Suurel määral,295.9942,229.0781,242.3302,Põ,123.9307
Naine,17,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Väga vähe,236.8749,215.5136,233.1865,Üld,115.7419
Naine,60,Jah,Põhi,Põhi,Ei,Hõivatud,Hea,Kesk,Keskmine,439.1695,Mõningal määral,258.8376,235.2834,224.3396,Õp,112.6842
Naine,61,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,618.1215,Mõningal määral,246.9383,283.1152,218.5121,Põ,105.2936
Mees,44,Jah,Põhi,Põhi,NA,Hõivatud,Hea,Kesk,Keskmine,449.696,Suurel määral,282.7312,275.6531,NA,Üld,101.9056
Mees,50,Jah,Kesk,Kõrg,Jah,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,NA,Suurel määral,313.0378,294.3338,274.4446,Hum,95.58782
Mees,48,Jah,Kesk,Põhi,Jah,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,618.1215,Väga suurel määral,217.4307,221.0258,204.5407,TehTo,130.2698
Mees,43,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Põhi,Madal,730,Mõningal määral,253.9481,263.9477,270.1119,Üld,117.4611
Naine,30,Jah,Kõrg,Kõrg,Jah,Mitteaktiivne,Rahuldav,Rakenduskõrg,Kõrge,NA,Väga suurel määral,301.4901,289.1508,NA,Teen,136.9382
Mees,35,Jah,Põhi,Kesk,Jah,Hõivatud,Suurepärane,Põhi,Madal,NA,Suurel määral,231.1785,273.9814,221.993,TehTo,115.8681
Mees,61,Jah,Kõrg,Kesk,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Väga vähe,217.8968,205.427,174.7126,Üld,98.93951
Mees,18,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Suurel määral,253.0226,210.7417,192.808,Üld,118.1186
Naine,52,Jah,Kesk,Põhi,Ei,Hõivatud,Hea,Rakenduskõrg,Kõrge,341.7985,Suurel määral,299.4257,307.687,NA,Sots,114.2591
Mees,46,Jah,Kesk,Põhi,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Mõningal määral,277.6727,267.1039,NA,TehTo,107.0013
Naine,29,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,618.1215,Suurel määral,306.3787,266.8114,304.455,Hum,102.2412
Mees,20,Ei,Kõrg,Kesk,Ei,Hõivatud,Hea,Kesk,Keskmine,683.9127,Mõningal määral,342.5794,305.9925,281.0391,TehTo,132.8443
Mees,37,Jah,Kesk,Kesk,Jah,Hõivatud,Suurepärane,Akadeemiline kõrg,Kõrge,1200,Mõningal määral,341.9443,333.2612,297.4257,TehTo,160.1555
Mees,29,Jah,Kõrg,Kõrg,Jah,Mitteaktiivne,Väga hea,Kesk,Keskmine,NA,Mõningal määral,296.6541,299.9649,297.55,TehTo,113.2407
Naine,44,Jah,Kesk,Põhi,Jah,Mitteaktiivne,Halb,Kesk,Keskmine,NA,Mõningal määral,237.8864,211.4668,NA,Üld,126.9208
Mees,57,Jah,Kesk,Põhi,Jah,Hõivatud,Halb,Akadeemiline kõrg,Kõrge,302.3237,Suurel määral,295.5145,278.7414,237.9703,Täp,112.0469
Mees,37,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Mõningal määral,259.6913,279.4789,NA,Üld,90.31063
Mees,49,Jah,Kesk,NA,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,NA,Suurel määral,262.4396,253.0488,NA,TehTo,173.1521
Mees,26,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Kesk,Keskmine,280,Suurel määral,349.7234,299.1821,341.1549,Üld,122.7014
Mees,64,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Rahuldav,Kesk,Keskmine,NA,Mõningal määral,354.9763,322.5215,NA,TehTo,78.46038
Mees,19,Ei,Kõrg,Kõrg,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Suurel määral,326.7508,343.3983,362.3446,Üld,122.7014
Mees,54,Jah,Põhi,Kesk,Ei,Töötu,Rahuldav,Kesk,Keskmine,NA,Üldse mitte,210.0878,219.7263,NA,TehTo,160.514
Mees,58,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Kesk,Keskmine,723.3875,Mõningal määral,304.137,300.0558,NA,Üld,99.78101
Naine,58,Jah,Põhi,Põhi,Jah,Hõivatud,Halb,Akadeemiline kõrg,Kõrge,NA,Väga suurel määral,271.8417,304.8939,296.8914,Sots,112.6842
Mees,44,Ei,Põhi,Kesk,Jah,Hõivatud,Rahuldav,Põhi,Madal,486.5391,Suurel määral,308.7769,299.2648,285.2638,TehTo,168.4398
Naine,58,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Kesk,Keskmine,NA,Väga suurel määral,262.6935,301.4107,272.9849,TehTo,105.2936
Naine,27,Ei,Kõrg,Kõrg,NA,Mitteaktiivne,Hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,355.4266,345.5303,322.1616,Hum,109.0535
Naine,48,Jah,Põhi,Põhi,Ei,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,828,Suurel määral,254.6362,206.1968,238.6371,Õp,84.5247
Naine,31,Jah,Kesk,Kesk,Ei,Hõivatud,Suurepärane,Akadeemiline kõrg,Kõrge,486.5391,Suurel määral,302.5826,313.0763,284.1825,Hum,109.0535
Naine,30,Ei,Kõrg,Kõrg,Ei,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Mõningal määral,265.4691,240.8859,NA,Üld,128.2823
Naine,63,Jah,Põhi,Põhi,Ei,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,639,Suurel määral,282.22,277.9069,251.1369,Hum,118.4681
Naine,43,Jah,Kesk,Kesk,Jah,Mitteaktiivne,Suurepärane,Kesk,Keskmine,NA,Suurel määral,312.8088,258.8976,261.8461,Üld,113.9431
Naine,41,Jah,Kesk,Kesk,Jah,Hõivatud,Suurepärane,Rakenduskõrg,Kõrge,881.2864,Suurel määral,317.8164,300.937,294.781,Sots,113.9431
Naine,25,Ei,Kõrg,Kõrg,Ei,Töötu,Väga hea,Akadeemiline kõrg,Kõrge,NA,Väga suurel määral,290.0168,257.1813,318.6287,Sots,106.8165
Naine,22,Ei,Kõrg,Kesk,Ei,Mitteaktiivne,Hea,Põhi,Madal,NA,Väga suurel määral,305.5925,299.011,321.6326,Üld,118.4273
Mees,40,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Rakenduskõrg,Kõrge,NA,Suurel määral,306.5618,318.9819,293.5063,Põ,98.599
Mees,60,Jah,Põhi,Põhi,NA,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Mõningal määral,274.3501,238.3368,NA,Üld,77.82272
Naine,58,Jah,Kesk,Kesk,Ei,Hõivatud,Halb,Põhi,Madal,282.5864,Suurel määral,190.4144,202.8101,NA,Üld,123.4563
Naine,40,Ei,Kesk,Kõrg,Ei,Hõivatud,Suurepärane,Kesk,Keskmine,272,Väga suurel määral,328.6711,300.3618,318.8943,Üld,126.9208
Mees,54,Ei,NA,NA,NA,Mitteaktiivne,Halb,Põhi,Madal,NA,Suurel määral,150.0524,130.0447,NA,Üld,102.8134
Naine,45,Jah,Põhi,Põhi,Ei,Hõivatud,Rahuldav,Kesk,Keskmine,692.8105,Mõningal määral,249.8082,241.0298,NA,Üld,126.9208
Naine,29,Jah,Kõrg,Kesk,Ei,Töötu,Rahuldav,Põhi,Madal,NA,Väga suurel määral,204.3479,174.1241,214.1629,Üld,138.6186
Naine,35,Jah,Põhi,Kesk,Jah,Hõivatud,Hea,Põhi,Madal,552.3303,Suurel määral,187.1223,191.8676,223.1732,Üld,132.5322
Naine,62,Jah,Kõrg,Kõrg,Jah,Hõivatud,Rahuldav,Akadeemiline kõrg,Kõrge,NA,Suurel määral,345.4147,286.666,NA,Hum,100.7443
Naine,24,Ei,Kesk,Kõrg,NA,Hõivatud,Väga hea,Rakenduskõrg,Kõrge,683.9127,Suurel määral,360.6857,310.2468,NA,Terv,130.5444
Mees,29,Jah,Kõrg,Põhi,Jah,Hõivatud,Hea,Kesk,Keskmine,NA,Suurel määral,238.3293,275.7091,252.4529,TehTo,116.8667
Mees,33,Jah,Kõrg,Kõrg,Jah,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,2460.275,Mõningal määral,279.5172,288.6261,310.2859,Sots,113.2407
Mees,38,Jah,Kesk,Põhi,Jah,Hõivatud,Väga hea,Kesk,Keskmine,1733.333,Suurel määral,311.656,271.2038,249.7742,TehTo,101.9056
Naine,35,Ei,Kõrg,Kõrg,NA,Mitteaktiivne,Väga hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,350.572,341.7241,328.8691,Sots,132.5322
Naine,18,Ei,Põhi,Põhi,Ei,Mitteaktiivne,Väga hea,Põhi,Madal,NA,Väga suurel määral,295.9379,301.7364,289.9179,Üld,97.46748
Naine,55,Jah,Kesk,Kesk,Ei,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,NA,Väga suurel määral,228.0309,253.122,244.9133,Üld,114.2591
Naine,38,Jah,Kesk,Kesk,Jah,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,1933.946,Suurel määral,189.959,193.9931,200.1947,Sots,113.9431
Naine,24,Ei,Kesk,Kesk,Ei,Hõivatud,Hea,Rakenduskõrg,Kõrge,500,Suurel määral,307.0482,305.9374,297.8161,Terv,116.1132
Naine,24,Jah,Kesk,Põhi,Jah,Mitteaktiivne,Hea,Kesk,Keskmine,NA,Suurel määral,363.149,355.0844,338.8326,Üld,115.7419
Naine,32,Ei,Kesk,Kesk,NA,Hõivatud,Hea,Rakenduskõrg,Kõrge,1032.606,Mõningal määral,313.4561,315.1408,257.1599,Teen,124.5773
Naine,17,Ei,Kesk,Kesk,Ei,Mitteaktiivne,Suurepärane,Põhi,Madal,NA,Suurel määral,294.2753,273.0361,324.3824,Üld,112.0005
Naine,25,Ei,Kõrg,Kõrg,Ei,Hõivatud,Väga hea,Akadeemiline kõrg,Kõrge,NA,Väga suurel määral,337.8898,309.424,317.882,Täp,118.4273
Naine,42,Jah,Kesk,Kesk,Ei,Hõivatud,Rahuldav,Rakenduskõrg,Kõrge,NA,Suurel määral,203.7401,228.3055,205.6953,TehTo,113.9431
Mees,50,Jah,Kõrg,Kesk,Jah,Mitteaktiivne,Hea,Akadeemiline kõrg,Kõrge,NA,Suurel määral,275.2544,265.4431,261.3168,NA,151.7437
Mees,64,Jah,Põhi,NA,Jah,Mitteaktiivne,Rahuldav,Põhi,Madal,NA,Üldse mitte,214.7824,190.4937,NA,Üld,119.3147
Naine,49,Jah,Kõrg,Kõrg,Ei,Hõivatud,Hea,Rakenduskõrg,Kõrge,NA,Suurel määral,287.8755,293.8576,279.4285,Sots,122.7917
Naine,25,Jah,Kesk,Kõrg,Jah,Hõivatud,Hea,Kesk,Keskmine,335.2194,Väga suurel määral,239.4474,240.9439,230.8768,TehTo,176.5571
Mees,65,Jah,Kesk,Kesk,Ei,Hõivatud,Hea,Akadeemiline kõrg,Kõrge,1012.869,Mõningal määral,182.3674,192.5568,NA,Teen,121.2352
Mees,30,Ei,Kesk,Kesk,Jah,Hõivatud,Hea,Kesk,Keskmine,881.2864,Mõningal määral,297.1949,287.1598,268.9849,Üld,186.477
Naine,36,Jah,Põhi,Põhi,Jah,Hõivatud,Hea,Põhi,Madal,NA,Suurel määral,278.1989,322.0192,290.1418,Üld,126.9208
Naine,58,Jah,Põhi,Põhi,Jah,Mitteaktiivne,Halb,Rakenduskõrg,Kõrge,NA,Üldse mitte,271.3167,296.2899,NA,Sots,87.30109
